Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	A39-FZR	04-NOV-14 09:40	User Waypoint	N14.87546 W16.65813	49 m				Symbol & Name	Black	Flag, Green					11/4/2014 9:40:02 AM 		
Waypoint	A4-FHP	04-NOV-14 08:35	User Waypoint	N14.92888 W16.75229	42 m				Symbol & Name	Black	Waypoint					11/4/2014 8:35:32 AM 		
Waypoint	A40-DZR	04-NOV-14 09:41	User Waypoint	N14.87295 W16.65036	43 m				Symbol & Name	Black	Waypoint					11/4/2014 9:41:35 AM 		
Waypoint	A41-VL40	04-NOV-14 09:41	User Waypoint	N14.87250 W16.64980	46 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:41:57 AM 		
Waypoint	A42-FZR	04-NOV-14 09:42	User Waypoint	N14.87187 W16.64881	42 m				Symbol & Name	Black	Flag, Green					11/4/2014 9:42:51 AM 		
Waypoint	A43	04-NOV-14 09:46	User Waypoint	N14.85986 W16.63830	38 m				Symbol & Name	Black	Waypoint					11/4/2014 9:46:13 AM 		
Waypoint	A44	04-NOV-14 09:46	User Waypoint	N14.86080 W16.63822	42 m				Symbol & Name	Black	Waypoint					11/4/2014 9:46:41 AM 		
Waypoint	A45	04-NOV-14 09:49	User Waypoint	N14.87361 W16.63480	47 m				Symbol & Name	Black	Waypoint					11/4/2014 9:49:16 AM 		
Waypoint	A46	04-NOV-14 09:49	User Waypoint	N14.87389 W16.63464	47 m				Symbol & Name	Black	Waypoint					11/4/2014 9:49:33 AM 		
Waypoint	A47-RLT	04-NOV-14 09:54	User Waypoint	N14.87738 W16.61914	51 m				Symbol & Name	Black	Triangle, Red					11/4/2014 9:54:15 AM 		
Waypoint	A48	04-NOV-14 09:55	User Waypoint	N14.87735 W16.61779	52 m				Symbol & Name	Black	Waypoint					11/4/2014 9:55:30 AM 		
Waypoint	A49-DZR	04-NOV-14 09:56	User Waypoint	N14.87536 W16.61447	47 m				Symbol & Name	Black	Waypoint					11/4/2014 9:56:36 AM 		
Waypoint	A5	04-NOV-14 08:39	User Waypoint	N14.92332 W16.75471	47 m				Symbol & Name	Black	Waypoint					11/4/2014 8:39:05 AM 		
Waypoint	A50-VL40	04-NOV-14 09:56	User Waypoint	N14.87538 W16.61384	47 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:56:59 AM 		
Waypoint	A51-VL40	04-NOV-14 09:59	User Waypoint	N14.87600 W16.61051	49 m				Symbol & Name	Black	Flag, Red					11/4/2014 9:59:05 AM 		
Waypoint	A52-FZR	16-NOV-14 08:26	User Waypoint	N14.87586 W16.60929	45 m				Symbol & Name	Black	Flag, Green					11/16/2014 8:26:50 AM 		
Waypoint	A53	16-NOV-14 08:29	User Waypoint	N14.87316 W16.60256	46 m				Symbol & Name	Black	Waypoint					11/16/2014 8:29:42 AM 		
Waypoint	A54-DANGER	16-NOV-14 08:33	User Waypoint	N14.86731 W16.58833	48 m				Symbol & Name	Black	Triangle, Red					11/16/2014 8:33:41 AM 		
Waypoint	A55	16-NOV-14 08:35	User Waypoint	N14.86843 W16.57883	46 m				Symbol & Name	Black	Waypoint					11/16/2014 8:35:58 AM 		
Waypoint	A56-DZR	16-NOV-14 08:36	User Waypoint	N14.86685 W16.57617	44 m				Symbol & Name	Black	Waypoint					11/16/2014 8:36:51 AM 		
Waypoint	A57-VL40	16-NOV-14 08:37	User Waypoint	N14.86688 W16.57525	47 m				Symbol & Name	Black	Flag, Red					11/16/2014 8:37:13 AM 		
Waypoint	A58-FZR	16-NOV-14 08:38	User Waypoint	N14.86685 W16.57410	47 m				Symbol & Name	Black	Flag, Green					11/16/2014 8:38:00 AM 		
Waypoint	A59-DHP	16-NOV-14 08:39	User Waypoint	N14.86381 W16.57031	44 m				Symbol & Name	Black	Waypoint					11/16/2014 8:39:15 AM 		
Waypoint	A6	04-NOV-14 08:46	User Waypoint	N14.92041 W16.75666	48 m				Symbol & Name	Black	Waypoint					11/4/2014 8:46:43 AM 		
Waypoint	A60-FHP	16-NOV-14 08:40	User Waypoint	N14.86001 W16.56710	40 m				Symbol & Name	Black	Waypoint					11/16/2014 8:40:58 AM 		
Waypoint	A61	16-NOV-14 08:42	User Waypoint	N14.85444 W16.56381	44 m				Symbol & Name	Black	Waypoint					11/16/2014 8:42:25 AM 		
Waypoint	A62-RLT	16-NOV-14 08:44	User Waypoint	N14.85494 W16.55697	50 m				Symbol & Name	Black	Triangle, Red					11/16/2014 8:44:51 AM 		
Waypoint	A63	16-NOV-14 08:45	User Waypoint	N14.85555 W16.55491	50 m				Symbol & Name	Black	Waypoint					11/16/2014 8:45:30 AM 		
Waypoint	A64	16-NOV-14 08:46	User Waypoint	N14.85551 W16.55076	47 m				Symbol & Name	Black	Waypoint					11/16/2014 8:46:16 AM 		
Waypoint	A65-RLT	16-NOV-14 08:47	User Waypoint	N14.85624 W16.54604	48 m				Symbol & Name	Black	Triangle, Red					11/16/2014 8:47:39 AM 		
Waypoint	A66-DHP	16-NOV-14 08:49	User Waypoint	N14.85736 W16.53914	49 m				Symbol & Name	Black	Waypoint					11/16/2014 8:49:14 AM 		
Waypoint	A67-FHP	16-NOV-14 08:50	User Waypoint	N14.85584 W16.53717	50 m				Symbol & Name	Black	Waypoint					11/16/2014 8:50:25 AM 		
Waypoint	A68-RLT	16-NOV-14 08:51	User Waypoint	N14.84949 W16.53419	49 m				Symbol & Name	Black	Triangle, Red					11/16/2014 8:51:50 AM 		
